scores,layer,head
0.5054406,15,30
0.5022983,5,11
0.44151282,8,0
0.4338214,10,14
0.42902446,16,20
0.42517266,8,3
0.40926352,29,22
0.40075198,19,15
0.39831004,30,14
0.38983187,31,17
0.38787666,31,20
0.38698736,26,0
0.38283774,31,16
0.3826119,8,1
0.38170886,15,2
0.38003364,30,3
0.37915352,27,2
0.37868598,31,19
0.3786836,2,22
0.37757137,27,1
0.3767115,20,14
0.3751374,30,21
0.37412885,29,2
0.37381616,26,15
0.37381452,26,16
0.37361258,29,20
0.37337205,16,0
0.372922,29,24
0.3720452,15,28
0.37110472,28,13
0.3698378,31,30
0.36835095,29,25
0.36731675,28,16
0.36633387,6,28
0.36565644,30,12
0.36560223,30,27
0.36554268,27,0
0.36515293,11,30
0.36512652,29,3
0.36466947,29,5
0.36453477,29,0
0.36447164,29,21
0.36347735,30,23
0.36328897,18,4
0.36250433,31,31
0.36183944,27,21
0.36153242,5,1
0.36103675,26,26
0.36080906,27,26
0.36070678,28,2
0.3605453,2,13
0.3603691,27,3
0.36032793,15,1
0.3599084,19,14
0.3593546,28,14
0.3592452,30,29
0.35920924,14,17
0.3589948,29,26
0.358591,20,7
0.3584311,27,27
0.35770893,26,2
0.3574139,25,26
0.3569548,11,15
0.3567906,24,26
0.35636884,2,26
0.35611072,28,1
0.35596535,29,9
0.35590214,26,28
0.35588995,29,6
0.35586348,19,1
0.35582036,31,21
0.3555638,23,21
0.35547742,4,1
0.3552586,26,18
0.35523948,25,15
0.3551736,9,25
0.35503754,31,11
0.3549765,30,30
0.35493916,7,10
0.35488954,28,19
0.35477725,30,11
0.35446382,30,28
0.35420367,23,16
0.3541857,7,22
0.35399485,23,24
0.35385507,5,9
0.35377905,26,24
0.35340115,20,5
0.35335803,31,22
0.35332385,24,11
0.35321483,24,21
0.35305434,31,10
0.3527644,27,23
0.35242754,30,20
0.3522965,31,8
0.35225967,6,17
0.35224432,29,13
0.3520665,8,2
0.35204607,16,23
0.35200265,25,25
0.35180253,11,0
0.35173354,23,17
0.3516547,11,18
0.35161296,28,25
0.35141867,29,12
0.35123035,5,4
0.35108167,29,1
0.35095897,16,21
0.35091794,26,20
0.35024905,3,12
0.34991673,26,30
0.3499096,8,21
0.34985667,17,8
0.34976566,29,15
0.3496842,24,18
0.34965226,5,0
0.3494707,26,12
0.34940898,22,23
0.3494009,10,12
0.3493416,5,8
0.34930468,30,15
0.34927186,26,31
0.34901264,4,6
0.3489908,2,1
0.34885886,30,16
0.34866688,3,23
0.34866562,14,22
0.3485001,25,24
0.34838194,6,25
0.34801072,23,18
0.34793505,5,23
0.34791017,23,4
0.34784245,6,31
0.34776717,23,7
0.34759128,27,25
0.34754935,6,9
0.34742182,24,7
0.34725302,22,25
0.3471802,13,18
0.34717202,4,0
0.34708256,3,27
0.3469446,24,19
0.34687394,11,5
0.34686556,2,14
0.34674156,25,28
0.3465825,6,2
0.3465695,10,13
0.34655872,26,25
0.3464765,7,13
0.3464476,22,21
0.3464286,29,7
0.34621978,19,27
0.34617877,25,4
0.34605137,12,14
0.34598345,5,6
0.34594205,3,0
0.34561306,23,19
0.3455932,20,6
0.34557053,30,4
0.34555775,26,19
0.34553367,23,6
0.3453523,22,20
0.34530008,26,29
0.34527305,20,2
0.34519097,17,17
0.34513578,2,10
0.34512818,24,0
0.3450833,23,23
0.34484643,5,7
0.3448412,16,1
0.34477136,24,30
0.34472886,20,4
0.34449637,25,14
0.34445557,23,26
0.34438232,20,31
0.34433544,26,14
0.34429264,10,29
0.3442718,26,21
0.34422797,24,8
0.34421992,25,8
0.34369022,27,13
0.34368733,5,20
0.34357774,24,16
0.34357768,28,6
0.3434489,19,3
0.34342998,18,30
0.34341106,21,30
0.34339908,23,15
0.34339076,2,16
0.3433825,28,4
0.34336513,5,5
0.34324887,10,3
0.3432258,3,4
0.34322235,29,14
0.3431123,3,3
0.34305975,22,3
0.34299815,19,24
0.34295037,30,31
0.3429212,30,13
0.3429056,18,6
0.34282342,18,21
0.3427337,3,2
0.34263042,26,8
0.34257567,10,28
0.34251913,24,22
0.3422848,30,8
0.34223485,28,26
0.34215707,30,9
0.3421419,14,29
0.34209296,20,13
0.34204662,24,6
0.34187102,10,26
0.3417451,18,18
0.34166026,18,31
0.34151417,13,6
0.34137532,3,21
0.34121165,4,20
0.34115097,23,25
0.34113124,19,19
0.3411181,15,17
0.34106827,28,12
0.34102446,29,16
0.34099466,18,15
0.34085953,18,27
0.34085315,23,5
0.34082216,31,13
0.3407328,6,6
0.3406373,23,12
0.34062552,5,30
0.34044334,29,11
0.34034324,13,21
0.34022498,13,17
0.34018746,23,27
0.34009045,27,8
0.3400018,23,31
0.33992445,21,25
0.33988333,25,27
0.33986372,3,14
0.3398597,27,24
0.3397847,23,14
0.33977914,22,5
0.33973196,24,25
0.33953828,24,9
0.33939677,7,19
0.33935392,20,28
0.33932933,27,31
0.3391897,7,16
0.33918813,31,7
0.33916363,25,3
0.33892313,24,10
0.3386799,25,7
0.33865952,27,22
0.3386015,3,20
0.33856708,18,3
0.33848867,9,7
0.33843994,28,28
0.33841994,21,31
0.33830228,19,12
0.33829936,5,2
0.33823228,16,3
0.3381799,24,23
0.33802864,14,20
0.33800563,6,0
0.33799848,21,28
0.33798057,28,27
0.33794174,18,16
0.3376555,23,30
0.3375415,20,23
0.33753574,30,2
0.33748502,27,5
0.3374801,13,23
0.33743787,3,13
0.3374351,13,2
0.33739564,26,11
0.33737636,2,12
0.33733293,5,25
0.33726764,2,18
0.33724478,16,6
0.33711693,22,14
0.33706015,6,24
0.33692387,3,9
0.33680454,5,18
0.33674878,19,17
0.3366746,24,24
0.3366285,3,24
0.33634052,5,3
0.33632368,22,31
0.3363076,12,10
0.33628017,9,16
0.33623856,10,6
0.33618042,14,18
0.33609283,24,2
0.33601356,6,26
0.3358287,4,19
0.33573827,25,13
0.33571026,18,11
0.3357031,18,13
0.3356892,21,29
0.3356294,22,26
0.33555493,20,15
0.33551165,19,5
0.3354848,6,14
0.33546883,27,20
0.33542806,25,6
0.33542788,23,13
0.3353941,11,2
0.33529282,30,22
0.33525768,21,24
0.3351757,12,7
0.33509374,28,9
0.33489862,18,23
0.3348121,2,15
0.33477572,25,31
0.33477372,27,12
0.33468193,22,1
0.3346227,22,15
0.33455688,3,31
0.33443812,29,27
0.33442572,17,16
0.33427525,8,9
0.3342253,25,30
0.33402288,19,25
0.33400914,11,24
0.33390668,19,10
0.33388036,4,28
0.33378312,2,6
0.333752,19,18
0.33374858,29,18
0.33369097,21,16
0.33362988,2,11
0.33359614,17,10
0.33354366,7,7
0.3335315,9,27
0.33348015,27,4
0.33347803,4,8
0.3334756,17,9
0.333237,7,3
0.33322904,18,22
0.3332144,18,1
0.33316186,18,5
0.3331618,20,12
0.33314362,29,29
0.33314288,3,25
0.33294344,15,12
0.3329325,18,9
0.33291507,12,1
0.3328221,16,2
0.33280218,18,10
0.33276019,20,24
0.3327119,25,9
0.33271167,6,3
0.3326061,13,5
0.33254272,24,5
0.33253384,19,13
0.33251727,5,24
0.3323488,24,20
0.33234018,2,29
0.33233795,13,4
0.33231106,21,11
0.33230883,11,29
0.33226562,19,21
